Country,GDP,Population,Continent,Life Expectancy
Aruba,2558906304,106585,North America,75.723
Afghanistan,19955929052,38972230,Asia,62.575
Angola,48501561204,33428486,Africa,62.261
Albania,15162734205,2837849,Africa,76.989
United Arab Emirates,3.49E+11,9287289,Asia,78.946
Argentina,3.86E+11,45376763,South America,75.892
Armenia,12641698583,2805608,Asia,72.173
Antigua and Barbuda,1410796296,92664,North America,78.841
Australia,1.33E+12,25649248,Oceania,83.2
Austria,4.35E+11,8916864,Europe,81.19268293
Azerbaijan,42693000000,10093121,Asia,66.868
Burundi,2649680261,12220227,Africa,61.566
Belgium,5.26E+11,11538604,Europe,80.69512195
Benin,15686741884,12643123,Africa,60.088
Burkina Faso,17725010531,21522626,Africa,59.731
Bangladesh,3.74E+11,167420951,Asia,71.968
Bulgaria,70368758395,6934015,Europe,73.65853659
Bahrain,34621807713,1477469,Asia,79.174
Bosnia and Herzegovina,20226036564,3318407,Europe,76.225
Belarus,61371755326,9379952,Europe,72.45721951
Belize,2047727810,394921,North America,72.854
Bolivia,36629843806,11936162,South America,64.467
Brazil,1.48E+12,213196304,North America,74.009
Barbados,4779756550,280693,North America,77.393
Brunei Darussalam,12005799654,441725,Asia,74.795
Bhutan,2457604042,772506,Asia,71.609
Botswana,14960291106,2546402,Asia,65.647
Central African Republic,2326720900,5343020,Africa,54.604
Canada,1.66E+12,38028638,North America,81.6604878
Central Europe and the Baltics,1.67E+12,102180124,Europe,76.08235436
Switzerland,7.42E+11,8638167,Europe,83
Chile,2.54E+11,19300315,South America,79.377
China,1.47E+13,1411100000,Asia,78.077
Cote d'Ivoire,63027852805,26811790,Africa,59.032
Cameroon,40773241177,26491087,Africa,60.833
Dem. Rep. Congo,48716961860,92853164,Africa,59.739
Congo,11468688141,5702174,Africa,63.785
Colombia,2.70E+11,50930662,South America,74.769
Comoros,1225039197,806166,Africa,64.166
Cabo Verde,1821565614,582640,Africa,74.808
Costa Rica,62395610760,5123105,North America,79.277
Caribbean small states,31378030001,3106185,North America,72.33122751
Cuba,1.07E+11,11300698,North America,77.567
Cyprus,25227189745,1237537,Europe,81.391
Czechia,2.46E+11,10697858,Europe,78.17560976
Germany,3.89E+12,83160871,Europe,81.04146341
Djibouti,3185150981,1090156,Africa,62.694
Dominica,504214814.8,71995,North America,73.649
Denmark,3.55E+11,5831404,Europe,81.60243902
Dominican Republic,78844656298,10999664,North America,72.889
Algeria,1.65E+11,43451666,Africa,74.453
Ecuador,95865472000,17588595,South America,72.153
Egypt,3.84E+11,107465134,Africa,70.99
Spain,1.28E+12,47365655,Europe,82.33170732
Estonia,31330419851,1329522,Europe,78.59512195
Ethiopia,1.08E+11,117190911,Africa,65.371
Finland,2.72E+11,5529543,Europe,81.93170732
Fiji,4432466220,920422,Oceania,67.924
France,2.65E+12,67571107,Europe,82.17560976
Faroe Islands,3262045883,52415,Europe,82.89756098
Gabon,15314577168,2292573,Africa,66.531
United Kingdom,2.70E+12,67081234,Europe,80.35121951
Georgia,16010869216,3722716,Asia,72.765
Ghana,70043095504,32180401,Africa,64.114
Guinea,14177835841,13205153,Africa,59.327
Gambia,1812170891,2573995,Africa,62.612
Greece,1.88E+11,10698599,Europe,81.28780488
Grenada,1043411111,123663,North America,74.924
Greenland,3082884653,56367,North America,71.85073171
Guatemala,77715183063,16858333,North America,71.797
Guam,5916000000,169231,Oceania,76.612
Guyana,5471256595,797202,South America,68.486
Honduras,23352232484,10121763,North America,71.462
Croatia,58221300898,4047680,Europe,77.72439024
Haiti,14508222518,11306801,North America,64.052
Hungary,1.57E+11,9750149,Europe,75.56829268
Indonesia,1.06E+12,271857970,Asia,68.808
Isle of Man,6684225641,84046,Europe,80.588
India,2.67E+12,1396387127,Asia,70.15
Ireland,4.29E+11,4985382,Europe,82.55609756
Iran,2.40E+11,87290193,Asia,74.832
Iraq,1.81E+11,42556984,Asia,69.123
Iceland,21629953194,366463,Europe,83.06341463
Israel,4.13E+11,9215100,Asia,82.64878049
Italy,1.90E+12,59438851,Europe,82.19512195
Jamaica,13812421836,2820436,North America,71.869
Jordan,43700383099,10928721,Asia,75.184
Japan,5.06E+12,126261000,Asia,84.56
Kazakhstan,1.71E+11,18755666,Asia,71.37
Kenya,1.01E+11,51985780,Africa,62.675
Kyrgyz Republic,8270468614,6579900,Asia,71.8
Cambodia,25872797892,16396860,Asia,70.416
Kiribati,222973879.7,126463,Oceania,67.266
St. Kitts and Nevis,883922222.2,47642,North America,71.627
South Korea,1.64E+12,51836239,Asia,83.42682927
Kuwait,1.08E+11,4360444,Asia,76.92
Lebanon,31712128254,5662923,Asia,77.804
Liberia,3176126340,5087584,Africa,60.948
Libya,65688454972,6653942,Africa,72.472
St. Lucia,1497825994,179237,North America,73.416
Liechtenstein,6405870210,38756,Europe,81.65853659
Sri Lanka,84304298771,21919000,Asia,76.393
Lesotho,2053338465,2254100,Africa,54.693
Lithuania,56964942999,2794885,Europe,74.97804878
Luxembourg,73699366700,630419,Europe,82.14390244
Latvia,34390910339,1900449,Europe,75.18536585
St. Martin (French part),,32553,North America,80.149
Morocco,1.21E+11,36688772,Africa,73.92
Monaco,6739645416,36922,Europe,81
Moldova,11530746234,2635130,Europe,70.166
Madagascar,13051441204,28225177,Africa,65.182
Maldives,3712604583,514438,Asia,79.875
Mexico,1.12E+12,125998302,South America,70.133
Marshall Islands,240751144.4,43413,Oceania,64.977
North Macedonia,12361036914,1856124,Europe,74.39512195
Mali,17465392764,21224040,Africa,58.633
Malta,15249999048,515332,Europe,82.34878049
Myanmar,79006113643,53423198,Asia,66.797
Montenegro,4769996866,621306,Europe,75.93170732
Mongolia,13312981429,3294335,Asia,72.141
Mauritania,8260752385,4498604,Africa,64.532
Mauritius,11408106446,1266014,Africa,74.17707317
Malawi,12041250084,19377061,Africa,63.717
Malaysia,3.37E+11,33199993,Asia,75.938
Namibia,10583748542,2489098,Africa,62.829
New Caledonia,9454629468,271080,Oceania,80.83495122
Niger,13744653103,24333639,Africa,61.451
Nigeria,4.32E+11,208327405,Africa,52.887
Nicaragua,12681548304,6755895,North America,71.795
Netherlands,9.10E+11,17441500,Europe,81.35853659
Norway,3.68E+11,5379475,Europe,83.2097561
Nepal,33433659301,29348627,Asia,69.246
Nauru,124685688.2,12315,Oceania,63.437
New Zealand,2.13E+11,5090200,Oceania,82.25609756
Oman,75909397659,4543399,Asia,74.757
Pakistan,3.00E+11,227196741,Asia,66.269
Panama,57086836900,4294396,North America,76.657
Peru,2.01E+11,33304756,South America,73.665
Philippines,3.62E+11,112190977,Asia,72.119
Papua New Guinea,23848445104,9749640,Oceania,65.787
Poland,5.99E+11,37899070,Europe,76.5
Puerto Rico,1.03E+11,3281557,North America,78.041
Portugal,2.29E+11,10297081,Europe,80.97560976
Paraguay,35432178068,6618695,South America,73.182
French Polynesia,5792545871,301920,Oceania,82.217
Qatar,1.44E+11,2760385,Asia,79.099
Romania,2.51E+11,19265250,Europe,74.25365854
Russia,1.49E+12,145245148,Europe,71.33878049
Rwanda,10174387614,13146362,Africa,66.774
Saudi Arabia,7.34E+11,35997107,Asia,76.239
Sudan,27034593750,44440486,Africa,65.614
Senegal,24530513038,16436120,Africa,68.006
Singapore,3.49E+11,5685807,Asia,83.54390244
El Salvador,24921190000,6292731,North America,71.061
Somalia,9204140383,16537016,Africa,55.967
Serbia,53356484591,6899126,Europe,74.47804878
Slovak Republic,1.07E+11,5458827,Europe,76.86585366
Slovenia,53734526854,2102419,Europe,80.53170732
Sweden,5.47E+11,10353442,Europe,82.35609756
Eswatini,3982236694,1180655,Africa,59.692
Syria,11155888304,20772595,Asia,72.14
Chad,10715396042,16644701,Africa,52.777
Togo,7400284168,8442580,Africa,61.035
Thailand,5.00E+11,71475664,Asia,79.274
Tajikistan,8133963551,9543207,Asia,67.994
Turkmenistan,45818000000,6250438,Asia,68.687
Timor-Leste,2162619200,1299995,Asia,68.475
Trinidad and Tobago,20807571314,1518147,North America,74.406
Tunisia,42491816476,12161723,Africa,75.292
Turkey,7.20E+11,83384680,Europe,75.85
Tanzania,66068737786,61704518,Africa,66.408
Uganda,37600368240,44404611,Africa,62.851
Ukraine,1.57E+11,44207754,Europe,71.18512195
Uruguay,53668636568,3429086,South America,78.43
United States of America,2.13E+13,331526933,North America,76.9804878
Uzbekistan,60224701297,34232050,Asia,70.331
St. Vincent and the Grenadines,869111111.1,104632,North America,72.126
Vietnam,3.47E+11,96648685,Asia,75.378
Kosovo,7717145218,1790133,Europe,76.567
South Africa,3.38E+11,58801927,Africa,65.252
Zambia,18137764931,18927715,Africa,62.38
Zimbabwe,21509698406,15669666,Africa,61.124
